district_id,district_name,ac_id,ac_name,ps_id,ps_name,doc_type,source_url,local_path,status,error
1,COOCHBEHAR,1,Mekliganj,118,Haldibari Nabakishor High School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part118.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part118.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,117,Wahabul Ullum Junior Basic School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part117.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part117.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,114,Halfali New Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p114.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p114.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,119,Bara Haldibari Pramanik Para Praimary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part119.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part119.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,120,Uttar Bara Haldibari Ambagan Fifth Plan Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part120.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part120.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,116,Basrajbala Aided Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p116.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p116.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,121,Wahabul Ullum High School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part121.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part121.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,119,Bara Haldibari Pramanik Para Praimary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p119.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p119.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,120,Uttar Bara Haldibari Ambagan Fifth Plan Primary School,mom,https://voters.eci.gov.in/eroll/bloblamom/s25/1/bloblamom_a1p120.pdf,data\raw\ceowestbengal\asd_sir\mom\1_coochbehar\001_mekliganj\bloblamom_a1p120.pdf,downloaded,
1,COOCHBEHAR,1,Mekliganj,122,Kashiabari Jayanti Nagar Fifth Plan Primary School,asd,https://voters.eci.gov.in/eroll/asd/2025/s25/1/uncollectable_elector_report_ac1_part122.pdf,data\raw\ceowestbengal\asd_sir\asd\1_coochbehar\001_mekliganj\uncollectable_elector_report_ac1_part122.pdf,downloaded,
